Altitude,Airspeed,Orbitalspeed
767.021753700217,100.755946074816,201.090112958632
779.178605167661,101.702880147182,201.5615257831
789.396132895839,102.493625350692,201.955815453287
801.761446060613,103.442496465984,202.43211980542
812.152910407982,104.233739500978,202.832958475224
822.62352043041,105.025562680941,203.235269424732
837.415626051254,106.135776482891,203.803564278593
850.218374408432,107.089882608326,204.295891644848
863.135471012443,108.041471830029,204.789399912586
873.987211155239,108.838017416655,205.20619102167
884.918538724422,109.634156165678,205.624062534037
898.141362110851,110.589870146871,206.125904409629
911.479044750798,111.548505901064,206.638207050006
922.681608585874,112.347360136739,207.064476474941
933.964063231018,113.147611876451,207.492873435751
949.894047622452,114.266767281733,208.097809237645
963.673165746848,115.229036157364,208.621826498609
975.243943479261,116.031806296773,209.058676012064
989.23479460727,116.993094907561,209.58873911763
