Time,Altitude
1250.82075195302,104150.261790457
1251.82075195302,103969.012544348
1252.86075195302,103780.416834136
1253.90075195302,103591.722928501
1254.90075195302,103410.194051102
1255.94075195302,103221.308078298
1256.94075195302,103039.59487334
1257.98075195301,102850.517564162
1259.06075195301,102654.065104064
1260.06075195301,102472.071338815
1261.10075195301,102282.702809685
1262.18075195301,102085.948535523
1263.26075195301,101889.090200495
1264.34075195301,101692.128019831
1265.38075195301,101502.362789446
1266.42075195301,101312.501648021
1267.46075195301,101122.544788464
1268.50075195301,100932.492407001
1269.500751953,100749.659826552
1270.540751953,100559.42062621
1271.580751953,100369.086465432
1272.580751953,100185.983479176
1273.620751953,99995.4636176741
1274.660751953,99804.8395049269
1275.700751953,99614.1211759145
1276.740751953,99423.3088236041
1277.740751953,99239.7469274248
1278.780751953,99048.7507041227
1279.86075195299,98850.3095706753
1280.90075195299,98659.1230679723
1281.94075195299,98467.8435013257
1282.98075195299,98276.4710780624
1283.98075195299,98092.3717371863
1285.06075195299,97893.4484091434
1286.10075195299,97701.7985588103
1287.18075195299,97502.6800872064
1288.22075195299,97310.8427130235
1289.26075195299,97118.9136580285
1290.26075195299,96934.2801896469
1291.34075195298,96734.7812307975
1292.38075195298,96542.5782599756
1293.46075195298,96342.8866337603
1294.46075195298,96157.8997604479
1295.50075195298,95965.4246173296
1296.54075195298,95772.8591427878
1297.58075195298,95580.203541318
1298.62075195298,95387.4579912322
1299.66075195298,95194.6227016044
1300.74075195298,94994.2758824406
1301.74075195297,94808.683652061
1302.78075195297,94615.5802977383
1303.82075195297,94422.3879726115
1304.90075195297,94221.6712286263
1305.94075195297,94028.2981601958
1306.98075195297,93834.8367242049
1307.98075195297,93648.7329597892
1308.98075195297,93462.5478433855
1310.02075195297,93268.8292278927
1311.06075195297,93075.0230007651
1312.06075195297,92888.5884412443
1313.10075195296,92694.6109578414
1314.14075195296,92500.5464649373
1315.18075195296,92306.3951519555
1316.22075195296,92112.1572073437
1317.22075195296,91925.3084547673
1318.22075195296,91738.3799602883
1319.22075195296,91551.371921076
1320.26075195296,91356.7993461592
1321.26075195296,91169.6295541897
1322.30075195296,90974.889137466
1323.30075195296,90787.5583225265
1324.34075195295,90592.6508297767
1325.34075195295,90405.1597258314
1326.34075195295,90217.590317884
1327.34075195295,90029.9427761314
1328.38075195295,89834.7066425197
1329.38075195295,89646.9002529285
1330.38075195295,89459.016277296
1331.38075195295,89271.0548751494
1332.42075195295,89075.4930875599
1333.42075195295,88887.3742940547
1334.42075195295,88699.1786279338
1335.42075195294,88510.9062431231
1336.42075195294,88322.5573370452
1337.42075195294,88134.1320651122
1338.42075195294,87945.6306231604
1339.46075195294,87749.5084874881
1340.46075195294,87560.8521863413
1341.50075195294,87364.5693842852
1342.50075195294,87175.7589593516
1343.54075195294,86979.3162513082
1344.58075195294,86782.792329255
1345.58075195293,86593.7505910322
1346.62075195293,86397.0679165623
1347.66075195293,86200.3045937051
1348.66075195293,86011.0332441768
1349.66075195293,85821.6876819385
1350.66075195293,85632.2681191717
1351.70075195293,85435.1934366557
1352.74075195293,85238.0391032104
1353.74075195293,85048.3926762319
1354.78075195293,84851.082655902
1355.86075195293,84646.1000926606
1356.90075195292,84448.6290948968
1357.90075195292,84258.6789365569
1358.94075195292,84061.053809558
1359.98075195292,83863.3503999645
1360.98075195292,83673.1773290667
1362.02075195292,83475.3209560807
1363.02075195292,83285.0011657048
1364.02075195292,83094.6097390396
1365.02075195292,82904.1468251832
1366.02075195292,82713.6126308795
1367.02075195292,82523.0073070796
1368.06075195291,82324.702524743
1369.06075195291,82133.9526692904
1370.10075195291,81935.4979455038
1371.10075195291,81744.6042930544
1372.14075195291,81546.0003930847
1373.14075195291,81354.9636805775
1374.18075195291,81156.2113862666
1375.18075195291,80965.0323475716
1376.18075195291,80773.7838081298
1377.18075195291,80582.4659427288
1378.18075195291,80391.0789420814
1379.1807519529,80199.622956729
1380.1807519529,80008.0981887337
1381.1807519529,79816.5047901357
1382.1807519529,79624.8429504801
1383.1807519529,79433.1128586517
1384.1807519529,79241.3146627941
1385.1807519529,79049.4485678468
1386.1807519529,78857.5147349895
1387.1807519529,78665.5133395894
1388.1807519529,78473.4445668939
1389.1807519529,78281.3085659323
1390.22075195289,78081.4160338053
1391.26075195289,77881.4512075428
1392.30075195289,77681.4142707745
1393.34075195289,77481.3053895659
1394.34075195289,77288.8253622483
1395.34075195289,77096.2792142681
1396.34075195289,76903.6671267338
1397.34075195289,76710.9892722107
1398.34075195289,76518.2457816931
1399.34075195289,76325.436839961
1400.34075195289,76132.5626265914
1401.34075195288,75939.6233269079
1402.38075195288,75738.8976006773
1403.38075195288,75545.826069931
1404.42075195288,75344.9631648785
1405.46075195288,75144.0305950549
1406.46075195288,74950.7607056363
1407.50075195288,74749.6921101622
1408.54075195288,74548.5544603672
1409.58075195288,74347.3479415602
1410.58075195288,74153.8153344649
1411.62075195287,73952.4742147517
1412.66075195287,73751.0647697565
1413.66075195287,73557.3376006554
1414.66075195287,73363.5476330323
1415.66075195287,73169.6950397948
1416.70075195287,72968.0220893086
1417.74075195287,72766.28174301
1418.74075195287,72572.2372674444
1419.74075195287,72378.1308278879
1420.74075195287,72183.9625992505
1421.78075195287,71981.962281988
1422.82075195286,71779.8955038562
1423.86075195286,71577.7624579342
1424.86075195286,71383.3414417431
1425.90075195286,71181.0789286545
1426.94075195286,70978.7506854511
1427.94075195286,70784.1424865979
1428.98075195286,70581.6858677426
1429.98075195286,70386.9545840989
1430.98075195286,70192.1632110737
1431.98075195286,69997.3119035773
1433.02075195286,69794.6031331006
